Title,Bedrooms,Bathrooms,Full_Location,lat,lon,dist_to_lekki,dist_to_ikeja,Location,Is_Island,Prop_Type,Has_Pool,Has_BQ,New_Build,Bathroom_per_Bedroom,In_Estate,Neighborhood_Tier,Island_x_Beds,Luxury_Score,Price
Newly Built 4 Bedroom Semi Detached Duplex,4,4,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,4,1,165000000.0
Tastefully Built 4 Bedroom Semi Detached Duplex,4,4,"Abraham Adesanya, Lekki Phase 2 Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,145000000.0
4 Bedroom Duplex,4,4,Chevron Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,4,0,230000000.0
4 Bedroom Terraced Duplex,4,4,Ikota Villa Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,0,1.0,0,4,4,0,120000000.0
5 Bedroom Fully Detached Home,5,5,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,800000000.0
5 Bedroom Fully Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,550000000.0
5 Bedroom Detached Duplex,5,6,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.2,0,4,5,0,460000000.0
5 Bedroom Fully Detached Duplex With Bq,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0,380000000.0
5 Bedroom Fully Detached Smart Duplex,5,5,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,600000000.0
Newly Built 5 Bedroom Fully Detached Duplex With Bq,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,1,1.0,0,4,5,1,700000000.0
Brand New 5 Bedroom Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1,650000000.0
Furnished 2 Bedroom Apartment,2,2,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,130000000.0
"1, 2 & 3 Bedroom Apartment",2,2,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,140000000.0
Luxury 3 Bedroom Apartment,3,3,Awolowo Road Ikoyi Lagos,6.4516268,3.4117815,5.595874965201447,17.89581566309951,Ikoyi,1,Flat,0,0,0,1.0,0,5,3,0,400000000.0
4 Bedroom Terrace Duplex,4,4,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,0,1.0,0,4,4,0,325000000.0
4 Bedroom Penthouse,4,4,Adeola Odeku Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742375,Victoria Island,1,Other,0,0,0,1.0,0,5,4,0,900000000.0
Newly Built 4 Bedroom Semi Detached Duplex,4,4,Thomas Estate Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.53491907587076,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,4,1,105000000.0
4 Bedroom Duplex,4,4,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,4,0,155000000.0
4 Bedroom Duplex,4,4,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,4,0,185000000.0
Newly Built 4 Bedroom Semi Detached Duplex With Bq,4,4,Orchid Road Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,1,1.0,0,4,4,1,180000000.0
3 Bedroom Terrace Duplex,3,3,Ikota Gra Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,0,1.0,0,4,3,0,78000000.0
6 Bedroom Duplex With Bq,6,6,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,1,0,1.0,0,4,6,0,530000000.0
Newly Built 2 Bedroom Apartment,2,2,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,1,1.0,0,4,2,1,250000000.0
5 Bedroom Flat,5,5,Ikate Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,5,0,800000000.0
Newly Built 5 Bed Duplex With 1 Room Bq,5,5,Lekki Phase1 Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,1,1,1.0,0,4,5,1,970000000.0
Newly Built 5 Bedroom Detached Duplex,5,5,Orchid Road Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1,500000000.0
Newly Built 6 Bedroom Smart Home,6,6,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,1,1.0,0,4,6,1,720000000.0
6 Bedroom Mansion,6,6,Vintage Park Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,0,1.0,0,4,6,0,1800000000.0
4 Bedroom Flat,4,4,Banana Island Banana Island Ikoyi Lagos,6.4600581,3.4593152,1.2666850782568917,19.69523211516851,Banana Island,1,Flat,0,0,0,1.0,0,5,4,0,1231633.0
4 Bedroom Semi Detached Duplex,4,4,Lekki Toll Gate Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,260000000.0
Newly Built 5 Bedroom Detached Duplex,5,5,Banana Island Ikoyi Lagos,6.4600581,3.4593152,1.2666850782568917,19.69523211516851,Banana Island,1,Detached Duplex,0,0,1,1.0,0,5,5,1,5500000.0
7 Bedroom Duplex,7,7,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,7,0,950000000.0
4 Bedroom Terrace Duplex With Bq,4,4,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,4,0,300000000.0
5 Bedroom Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,2000000000.0
5 Bedroom Mansion With Bq,5,5,Old Ikoyi Ikoyi Lagos,6.4516268,3.4117815,5.595874965201447,17.89581566309951,Ikoyi,1,Other,0,1,0,1.0,0,5,5,0,2500000000.0
2 Bedroo Apartment,2,2,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,100000000.0
3 Bedroom Terraced Duplex With Bq,3,3,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,3,0,300000000.0
5 Bedroom Semi Detached Duplex,5,5,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,650000000.0
4 Bedroom Terraced Duplex With Bq,4,4,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,4,0,350000000.0
2 Bedroom Apartment,2,2,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,210000000.0
Brand New 5 Bedroom Detached Duplex,5,5,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1,320000000.0
Detailed 6 Bedroom Detached Smart Home,6,6,Banana Island Ikoyi Lagos,6.4600581,3.4593152,1.2666850782568917,19.69523211516851,Banana Island,1,Detached Duplex,0,0,0,1.0,0,5,6,0,6000000000.0
Contemporary Spacious 4 Bedroom Semi Detached Duplex,4,4,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,250000000.0
Luxury 5 Bedroom Detached Duplex,5,5,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,400000000.0
5 Bedroom Fully Detached Duplex With Bq,5,5,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0,900000000.0
Luxury 5bedroom Fully Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,850000000.0
5 Bedroom Fully Detached Duplex With A Bq,5,5,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0,350000000.0
Fully Furnished 2 Bedroom Apartment,2,2,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,165000000.0
5 Bedroom Detached Duplex,5,5,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,1400000000.0
Newly Built 4 Bedroom Semi Detached Duplex,4,4,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,4,1,15000000.0
Serviced 5 Bedroom Penthouse,5,5,Old Ikoyi Ikoyi Lagos,6.4516268,3.4117815,5.595874965201447,17.89581566309951,Ikoyi,1,Other,0,0,0,1.0,1,5,5,1,3500000000.0
Newly Built 6 Bedroom Fully Detached Duplex With Bq,6,6,Banana Island Ikoyi Lagos,6.4600581,3.4593152,1.2666850782568917,19.69523211516851,Banana Island,1,Detached Duplex,0,1,1,1.0,0,5,6,1,5500000000.0
3 Bedroom Terraced Duplex,3,3,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,0,1.0,0,4,3,0,220000000.0
2 Bedroom Apartment,2,2,"Lekki Right, Lekki Phase 1 Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,150000000.0
Exquisitely Built 5 Bedroom Fully Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,700000000.0
3 Bedroom Apartment,3,3,Old Ikoyi Ikoyi Lagos,6.4516268,3.4117815,5.595874965201447,17.89581566309951,Ikoyi,1,Flat,0,0,0,1.0,0,5,3,0,450000000.0
Lovely 4 Bedroom Semi Detached Duplex,4,4,Agungi Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,160000000.0
3 Bedroom Semi Detached Duplex With Bq,3,3,Off Abraham Adesanya Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.53491907587076,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,3,0,115000000.0
Nicely Finished 3 Bedroom Terrace Duplex With Bq,3,3,By Lakowe Golf Ibeju Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,3,0,68000000.0
Studio Apartment,1,1,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,1,0,65000000.0
Luxury 5 Bedroom Detached Duplex With Bq,5,5,Megamound Estate Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0,400000000.0
Luxury 5 Bedroom Semi Detached Duplex With Bq,5,5,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0,270000000.0
4 Bedroom Terrace Duplex With Bq,4,4,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,4,0,140000000.0
Serviced 2 Bedroom Apartment With Bq,2,2,Off Adeola Odeku Victoria Island Lagos Adeola Odeku Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742375,Victoria Island,1,Flat,0,1,0,1.0,1,5,2,1,417500000.0
2 Bedroom Apartment,2,2,Agungi Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,110000000.0
5 Bedroom Semi Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,250000000.0
4 Bedroom Terrace Duplex,4,4,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,0,1.0,0,4,4,0,240000000.0
4 Bedroom Semi Detached Duplex,4,4,Ologolo Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,230000000.0
5 Bedroom Detached Duplex,5,5,Ado Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.53491907587076,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0,205000000.0
5 Bedroom Flat,5,5,Sangotedo Axis Close To Lbs Lekki Phase 2 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,5,0,230000000.0
4 Bedroom Semi Detached Duplex,4,4,Idado Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,250000000.0
2 Bedroom Maisonette,2,3,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,0,1.5,0,4,2,0,70000000.0
2 Bedroom Apartment With Bq,2,2,"Freedom Way, Lekki Phase 1 Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,1,0,1.0,0,4,2,0,280000000.0
Beautifully Crafted 4bedroom Semi Detached House,4,4,Agungi Estate Agungi Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,320000000.0
3 Bedroom Duplex,3,3,Mobile Road Axis Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,3,0,105000000.0
Stunning 4 Bedroom Semi Detached Duplex,4,4,Lekki Phase 2 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,150000000.0
2 Bedroom Flat,2,2,Royal Pine Estate Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0,50000000.0
Duplex,4,4,Orchid Road By Chevron Toll Gate Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,4,0,290000000.0
3 Bedroom Apartment,3,3,"Chevron Toll Gate, Chevron Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,3,0,135000000.0
5 Bedroom House,5,5,"Royal Estate, Orchid Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,0,1.0,0,4,5,0,400000000.0
4 Bedroom Duplex,4,4,Orchid Road By Chevron Toll Gate Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,4,0,190000000.0
2 Bedroom Apartment Plus Bq,2,2,Chisco Estate Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,1,0,1.0,0,4,2,0,210000000.0
House,4,4,Dpk Estate By Orchid Road Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,0,1.0,0,4,4,0,150000000.0
New 4 Bedroom Fully Detached Duplex,4,4,Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,150000000.0
5 Bedroom Duplex,5,5,Cowrie Creek Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,5,0,850000000.0
5 Bedroom Fully Detached Duplex,5,5,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,450000000.0
New Shop,1,0,Major Road Agungi Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,0,0.0,0,4,1,0,82100000.0
4 Bedroom Terraced Duplex,4,4,Old Ikoyi Ikoyi Lagos,6.4516268,3.4117815,5.595874965201447,17.89581566309951,Ikoyi,1,Terrace,0,0,0,1.0,0,5,4,0,750000000.0
Newly Built 4 Bedroom Semi Detached Duplex With Bq,4,4,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,1,1.0,0,4,4,1,22000000.0
5 Bedroom Fully Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,730000000.0
Brand New 5 Bedroom Detached Duplex With Bq,5,5,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,1,1.0,0,4,5,1,780000000.0
5 Bedroom Fully Detached Duplex,5,5,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,750000000.0
